GEO_ID,NAME,S1701_C01_001E
23001,"Androscoggin County, Maine",107112
23003,"Aroostook County, Maine",65264
23005,"Cumberland County, Maine",292581
23007,"Franklin County, Maine",28360
23009,"Hancock County, Maine",54031
23011,"Kennebec County, Maine",119763
23013,"Knox County, Maine",38849
23015,"Lincoln County, Maine",34497
23017,"Oxford County, Maine",56952
23019,"Penobscot County, Maine",145517
23021,"Piscataquis County, Maine",16390
23023,"Sagadahoc County, Maine",36320
23025,"Somerset County, Maine",49628
23027,"Waldo County, Maine",38917
23029,"Washington County, Maine",30057
23031,"York County, Maine",207251
