Source,County,Total Emissions (MT CO2e),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),"Location (Latitude, Longitude) "
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,Benton,155888,10731,1,145157,"(46.165957, -119.017218)"
Air Liquide Hydrogen Plant - Anacortes,Skagit,64413,64413,0,0,"(48.465617, -122.556032)"
Alcoa Intalco Works - Ferndale,Whatcom,1195786,418042,10480,34,"(48.8455, -122.7055)"
Alcoa Wenatchee Works - Malaga,Chelan,331207,254025,14,16,"(47.3567, -120.1273)"
Ardagh Glass Inc. - Seattle,King,76674,76614,27,32,"(47.55242, -122.33739)"
Ash Grove Cement Company - Seattle,King,495030,494557,369,104,"(47.56799, -122.34255)"
"Biofuels Washington, LLC Landfill Gas to Energy Plant - Graham",Pierce,19534,0,30,70,"(46.975533, -122.290871)"
Boeing Commercial Airplanes - Everett,Snohomish,66276,66207,31,37,"(47.918622, -122.276987)"
Boeing Commercial Airplanes - Fabrication (Frederickson Site) - Puyallup,Pierce,20833,20812,10,12,"(47.088831, -122.34862)"
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",Stevens,57294,0,109,647,"(48.609799, -118.067441)"
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",Stevens,71151,1734,132,784,"(48.613175, -118.116106)"
Boise Paper - Wallula,Walla Walla,855520,126547,8991,2556,"(46.10396, -118.9184)"
Boulder Park Generating Station - Spokane Valley,Spokane,10952,10941,5,6,"(47.696999, -117.147223)"
BP Cherry Point Refinery - Blaine,Whatcom,2093437,2077888,11062,4486,"(48.8864, -122.7353)"
Cardinal FG Company - Winlock,Lewis,105474,105399,34,41,"(46.544937, -122.926313)"
Cathcart Landfill - Snohomish,Snohomish,23520,190,23329,0,"(47.870014, -122.118284)"
Central Washington University - Ellensburg,Kittitas,12838,12822,7,9,"(47.003202, -120.544513)"
CertainTeed Gypsum - Seattle,King,38141,38101,18,21,"(47.548056, -122.336944)"
Cheyne Landfill - Zillah,Yakima,34450,0,34450,0,"(46.4785, -120.2688)"
ConAgra Foods Lamb Weston - Connell,Franklin,36801,36763,17,21,"(46.651389, -118.871944)"
ConAgra Foods Lamb Weston - Pasco,Franklin,48162,48113,23,27,"(46.288137, -119.115336)"
ConAgra Foods Lamb Weston - Quincy,Grant,37922,37882,18,22,"(47.234413, -119.869914)"
ConAgra Foods Lamb Weston - Richland,Benton,36252,36215,17,20,"(46.309314, -119.297267)"
ConAgra Foods Lamb Weston/BSW - Warden,Grant,16271,16254,8,9,"(46.971504, -119.055427)"
Cosmo Specialty Fibers Inc - Cosmopolis,Grays Harbor,1170393,16976,5426,3079,"(46.952907, -123.76211)"
Cowlitz County Headquarters Landfill - Castle Rock,Cowlitz,190202,0,188098,7,"(46.246902, -122.772284)"
Cowlitz County Landfill - Longview,Cowlitz,4533,0,4533,0,"(46.107229, -122.905601)"
Darigold - Chehalis,Lewis,14732,14718,7,8,"(46.659952, -122.970162)"
Darigold - Lynden,Whatcom,21437,21415,10,12,"(48.947567, -122.451915)"
Darigold - Sunnyside,Yakima,21372,21349,10,12,"(46.30058, -120.015675)"
Easterday Ranches North Feedlot - Eltopia,Franklin,15048,922,1094,13032,"(46.50919, -118.881203)"
Easterday Ranches South Feedlot - Kennewick,Benton,21519,1990,1514,18016,"(45.991872, -119.136497)"
"El Oro Cattle Feeders, LLC - Moses Lake",Grant,25752,0,1986,23766,"(47.052176, -119.093815)"
"Emerald Kalama Chemical, LLC - Kalama",Cowlitz,69126,69055,32,38,"(46.02191, -122.85698)"
Enwave - Seattle,King,71009,69042,36,60,"(47.6068, -122.340179)"
Fairchild AFB - Spokane Co.,Spokane,14053,14039,7,8,"(47.641332, -117.644832)"
Frederickson Power LP - Tacoma,Pierce,496752,496248,230,274,"(47.086342, -122.365686)"
Frito Lay - Vancouver,Clark,15923,15906,8,9,"(45.657037, -122.692)"
Gas Transmission Northwest Compressor Station 6 - Rosalia,Whitman,84805,82433,2326,46,"(47.277256, -117.406737)"
